,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1m,3m,6m,,YTD,,1a,,3a,,5a,,10a,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025,
,,,,,,,,,,,,,,,,,01/03/2026,01/01/2026,01/10/2025,,01/01/2026,,01/04/2025,,01/04/2023,,01/04/2021,,01/04/2016,,01/01/2013,,01/01/2014,,01/01/2015,,01/01/2016,,01/01/2017,,01/01/2018,,01/01/2019,,01/01/2020,,01/01/2021,,01/01/2022,,01/01/2023,,01/01/2024,,01/01/2025,
,,,,,,,,,,,,,,,,,31/03/2026,31/03/2026,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/12/2013,,31/12/2014,,31/12/2015,,31/12/2016,,31/12/2017,,31/12/2018,,31/12/2019,,31/12/2020,,31/12/2021,,31/12/2022,,31/12/2023,,31/12/2024,,31/12/2025,
Fondo ,ISIN,Categoría Morningstar ,Categoría Mediolanum ,Gestora,Familia,EU SFDR (Artículo 8 o 9),Frecuencia reparto DIVIDENDO,InBest,InBest MW,Double Chance,Big Chance ,Fecha de lanzamiento,Indicador riesgo marzo (PRIIPS),RV Style Box,RF Style Box, PATRIMONIO  ,Rentabilidad,Rentabilidad,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  
Amundi Fds Glbl Aggt Bd A EUR H C,LU0906524193,EAA Fund Global Diversified Bond - EUR Hedged,Renta Fija Flexible,Amundi Luxembourg S.A.,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,4/16/2013,2,,8," 4,125,486,983.01 € ",-3.41,-1.57,-1.42,5.85,-1.57,n.d.,1.34,4.42,2.82,4.26,-0.51,4.68,0.14,4.89,,,5.88,1.60,-0.08,4.59,-0.31,2.90,3.47,1.20,-4.74,2.69,7.36,3.14,1.99,10.20,-3.11,2.54,-11.19,6.10,4.75,4.96,2.02,3.99,4.55,2.23
Amundi Fds Glbl Aggt Bd R EUR H C,LU0839534111,EAA Fund Global Diversified Bond - EUR Hedged,Renta Fija Flexible,Amundi Luxembourg S.A.,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,3/27/2013,2,,8," 4,125,486,983.01 € ",-3.40,-1.51,-1.30,5.87,-1.51,n.d.,1.51,4.42,3.00,4.28,-0.28,4.70,0.47,4.90,4.73,3.60,6.35,1.59,0.04,4.56,0.27,2.91,3.95,1.25,-4.45,2.71,7.63,3.11,2.49,10.16,-2.71,2.53,-11.03,6.11,4.87,5.06,2.36,4.02,4.68,2.21
Amundi Fds MA Consrv Rspnb R EUR C,LU1941682251,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente,Amundi Luxembourg S.A.,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,4/18/2019,3,4,," 594,771,252.51 € ",-3.72,-1.85,-1.45,6.48,-1.85,n.d.,2.44,4.89,3.59,5.40,0.29,6.57,1.94,5.65,7.29,4.01,12.50,2.31,2.83,8.60,4.61,3.72,1.24,3.07,-1.05,3.63,8.22,3.13,3.85,8.06,4.44,3.12,-13.52,9.97,7.74,5.74,5.89,5.13,2.15,4.71
Amundi Fds MA Consrv Rspnb R5 EUR C,LU2391859084,EAA Fund EUR Cautious Allocation - Global,Multi Activos Prudente,Amundi Luxembourg S.A.,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,10/18/2021,3,4,," 594,771,252.51 € ",-3.69,-1.80,-1.38,6.46,-1.80,n.d.,2.62,4.88,3.70,5.39,,,,,,,,,,,,,,,,,,,,,,,-12.79,9.70,7.61,5.69,6.11,5.11,2.31,4.72
Amundi Fds Multi-Asset Climate AEURC,LU0907915168,EAA Fund EUR Moderate Allocation - Global,Multi Activos Flexible,Amundi Luxembourg S.A.,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,4/28/2014,4,4,," 155,504,135.61 € ",-5.66,-3.24,-1.56,9.70,-3.24,n.d.,6.12,7.54,4.71,7.88,0.99,8.89,2.18,8.85,3.99,3.21,5.43,2.67,-0.47,7.23,-1.94,5.05,5.69,2.32,-10.69,7.17,14.91,6.04,6.27,16.79,8.16,3.57,-15.40,12.40,5.51,10.46,7.75,6.13,6.49,6.21
Amundi Fds Multi-Asset Climate REURC,LU1049757476,EAA Fund EUR Moderate Allocation - Global,Multi Activos Flexible,Amundi Luxembourg S.A.,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,4/28/2014,4,4,," 155,504,135.61 € ",-5.61,-3.09,-1.26,9.69,-3.09,n.d.,6.76,7.54,5.34,7.89,1.58,8.90,2.78,8.83,3.99,3.21,6.25,2.52,-0.06,7.24,-1.33,4.99,6.20,2.30,-10.00,7.16,15.46,5.88,6.90,16.78,8.69,3.56,-14.90,12.41,6.15,10.47,8.39,6.15,7.14,6.22
Amundi Rendement Plus ISR P C,FR0010820332,EAA Fund EUR Cautious Allocation,Multi Activos Prudente,Amundi Asset Management,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,11/20/2009,2,4,," 464,359,828.23 € ",-3.12,-1.15,-0.32,5.57,-1.15,n.d.,3.32,4.01,4.24,4.50,1.06,5.20,1.45,5.11,3.86,3.19,5.76,1.05,0.30,5.59,1.83,3.33,3.67,1.08,-5.19,3.32,7.50,3.13,0.95,10.15,1.69,1.47,-9.80,7.40,6.70,5.82,4.53,4.19,4.81,2.75
Amundi Rendement Plus ISR R C,FR0013289444,EAA Fund EUR Cautious Allocation,Multi Activos Prudente,Amundi Asset Management,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,10/23/2017,2,4,," 464,359,828.23 € ",-3.02,-1.01,-0.07,5.52,-1.01,n.d.,3.84,3.97,4.77,4.49,1.57,5.19,,,,,,,,,,,,,-4.86,3.48,8.18,3.24,1.49,10.15,2.22,1.46,-9.32,7.40,7.23,5.83,5.06,4.19,5.33,2.78
Amundi Rspnb Invest Imp Green Bds DP C,FR0013188745,EAA Fund Global Diversified Bond - EUR Hedged,Renta Fija Diversificada,Amundi Asset Management,Terceros ,Artículo 9,n.a.,NO,NO,Sí,Sí,11/10/2016,3,,8," 1,276,873,357.69 € ",-3.15,-1.48,-1.05,5.46,-1.48,n.d.,1.05,4.02,2.50,4.62,-2.59,6.73,,,,,,,,,,,0.60,2.20,-1.27,1.48,6.32,3.81,6.10,6.33,-2.58,3.00,-20.27,10.48,6.71,6.55,2.29,4.34,2.26,2.57
Amundi Rspnb Invest Imp Green Bds R C,FR0013332160,EAA Fund Global Diversified Bond - EUR Hedged,Renta Fija Diversificada,Amundi Asset Management,Terceros ,Artículo 9,n.a.,NO,NO,Sí,Sí,5/16/2018,3,,8," 1,276,873,357.69 € ",-3.16,-1.52,-1.12,5.46,-1.52,n.d.,0.90,4.02,2.34,4.62,-2.73,6.73,,,,,,,,,,,,,,,6.49,3.83,5.96,6.33,-2.72,3.00,-20.39,10.48,6.56,6.55,2.14,4.34,2.11,2.57
Amundi Ultra Short Term Bond Rsp R C,FR0013297496,EAA Fund EUR Ultra Short-Term Bond,Activos Monetarios ,Amundi Asset Management,Terceros ,Artículo 8,n.a.,NO,NO,NO,NO,11/22/2017,1,,2," 7,892,258,876.47 € ",-0.13,0.25,0.74,0.44,0.25,n.d.,2.01,0.35,3.30,0.38,1.95,0.68,,,,,,,,,,,,,-0.60,0.05,-0.39,0.04,-0.47,0.28,-0.46,0.15,-0.30,0.84,3.63,0.32,4.10,0.20,2.52,0.18
BGF Asian Dragon D2 EUR Hedged,LU1279613522,EAA Fund Other Equity,Renta Variable Países Emergentes,BlackRock (Luxembourg) SA,Terceros ,n.a.,n.a.,NO,Sí,Sí,Sí,9/9/2015,4,7,," 638,948,109.82 € ",-13.56,-3.77,-0.84,26.17,-3.77,n.d.,21.55,20.73,7.14,15.45,-1.25,17.67,4.73,17.26,,,,,,,7.85,18.00,35.94,7.81,-19.37,17.88,17.79,16.02,18.72,25.36,-4.98,10.14,-21.16,24.82,-0.16,17.55,5.56,12.66,27.91,12.14
BGF Euro Short Duration Bond D2,LU0329592371,EAA Fund EUR Diversified Bond - Short Term,Renta Fija Diversificada,BlackRock (Luxembourg) SA,Terceros ,Artículo 8,n.a.,NO,NO,NO,NO,11/12/2007,2,,2," 1,918,115,185.39 € ",-1.76,-0.97,-0.35,3.01,-0.97,n.d.,1.76,2.19,3.20,1.80,0.87,2.23,0.59,1.88,2.28,1.31,2.74,0.63,1.12,1.02,0.86,0.63,0.67,0.24,-1.21,0.74,0.92,0.61,0.67,3.16,-1.14,0.79,-5.23,2.89,4.62,2.17,3.50,1.57,3.62,0.72
BGF European Equity Income D2,LU0579997130,EAA Fund Europe Equity Income,Renta Variable Dividendos,BlackRock (Luxembourg) SA,Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,1/21/2011,4,4,," 1,596,454,425.87 € ",-8.28,-2.18,3.38,15.90,-2.18,n.d.,7.88,12.21,10.40,10.77,8.00,12.44,7.05,13.24,26.88,8.75,12.89,8.68,16.44,16.29,-6.21,13.16,11.33,6.49,-12.34,9.80,27.59,6.92,0.84,25.97,21.01,9.76,-11.24,17.44,14.77,12.54,8.91,6.20,17.63,10.03
